time,airline,responsetime,sourcetype
2014-06-23 00:00:00Z,AAL,132.2046,farequote
2014-06-23 00:00:00Z,JZA,990.4628,farequote
2014-06-23 00:00:00Z,JBU,877.5927,farequote
2014-06-23 00:00:00Z,KLM,1355.4812,farequote
2014-06-23 00:00:00Z,NKS,9991.3981,farequote
2014-06-23 00:00:00Z,TRS,412.1948,farequote
2014-06-23 00:00:00Z,DAL,401.4948,farequote
2014-06-23 00:00:00Z,FFT,181.5529,farequote
2014-06-23 00:00:00Z,SWA,160.214,farequote
2014-06-23 00:00:00Z,SWR,2308.0191,farequote
2014-06-23 00:00:00Z,UAL,9.225,farequote
2014-06-23 00:00:00Z,AMX,20.8454,farequote
2014-06-23 00:00:00Z,VRD,325.255,farequote
2014-06-23 00:00:00Z,ACA,20.2368,farequote
2014-06-23 00:00:00Z,AWE,20.0409,farequote
2014-06-23 00:00:00Z,ASA,66.1587,farequote
2014-06-23 00:00:00Z,BAW,182.1066,farequote
2014-06-23 00:00:00Z,BAW,204.9968,farequote
2014-06-23 00:00:00Z,EGF,197.4412,farequote
2014-06-23 00:00:00Z,JAL,503.7342,farequote
2014-06-23 00:00:07Z,AWE,20.4649,farequote
2014-06-23 00:00:20Z,JAL,525.3308,farequote
2014-06-23 00:00:59Z,AAL,136.2361,farequote
2014-06-23 00:01:02Z,VRD,282.9847,farequote
2014-06-23 00:01:09Z,JAL,493.0338,farequote
2014-06-23 00:01:10Z,UAL,8.4275,farequote
2014-06-23 00:01:12Z,FFT,221.8693,farequote
2014-06-23 00:01:36Z,UAL,9.946,farequote
2014-06-23 00:01:41Z,AWE,20.0674,farequote
2014-06-23 00:01:51Z,ACA,23.1251,farequote
2014-06-23 00:01:54Z,JAL,491.3751,farequote
2014-06-23 00:01:55Z,UAL,10.7749,farequote
2014-06-23 00:01:56Z,SWR,2668.3092,farequote
2014-06-23 00:02:01Z,AWE,19.2948,farequote
2014-06-23 00:02:08Z,EGF,205.1143,farequote
2014-06-23 00:02:13Z,ASA,66.3888,farequote
2014-06-23 00:02:29Z,AMX,13.3429,farequote
2014-06-23 00:02:32Z,AAL,104.9828,farequote
2014-06-23 00:02:50Z,JAL,507.8157,farequote
2014-06-23 00:03:02Z,BAW,188.0154,farequote
2014-06-23 00:03:05Z,JBU,1037.7588,farequote
2014-06-23 00:03:06Z,FFT,221.1585,farequote
2014-06-23 00:03:15Z,JZA,995.4091,farequote
2014-06-23 00:03:24Z,AMX,12.3134,farequote
2014-06-23 00:03:36Z,UAL,10.1147,farequote
2014-06-23 00:03:36Z,ASA,85.1724,farequote
2014-06-23 00:03:44Z,SWR,1965.1186,farequote
2014-06-23 00:03:49Z,SWA,237.5185,farequote
2014-06-23 00:03:51Z,AWE,20.8626,farequote
2014-06-23 00:03:53Z,JZA,991.1626,farequote
2014-06-23 00:04:03Z,AAL,103.3344,farequote
2014-06-23 00:04:08Z,EGF,210.3688,farequote
2014-06-23 00:04:19Z,JAL,500.9869,farequote
2014-06-23 00:04:20Z,ACA,19.8927,farequote
2014-06-23 00:04:22Z,SWA,298.53,farequote
2014-06-23 00:04:28Z,AWE,18.4055,farequote
2014-06-23 00:04:31Z,VRD,289.0728,farequote
2014-06-23 00:04:38Z,JBU,867.1021,farequote
2014-06-23 00:04:41Z,AMX,12.8904,farequote
2014-06-23 00:04:45Z,UAL,10.3656,farequote
2014-06-23 00:04:55Z,VRD,294.6092,farequote
2014-06-23 00:05:00Z,ASA,71.2186,farequote
2014-06-23 00:05:15Z,JBU,993.4471,farequote
2014-06-23 00:05:19Z,FFT,201.3483,farequote
2014-06-23 00:05:26Z,TRS,409.6857,farequote
2014-06-23 00:05:28Z,AAL,108.0178,farequote
2014-06-23 00:05:31Z,AAL,159.7278,farequote
2014-06-23 00:05:33Z,KLM,1523.2893,farequote
2014-06-23 00:05:42Z,NKS,10151.8092,farequote
2014-06-23 00:05:49Z,EGF,202.489,farequote
2014-06-23 00:05:54Z,BAW,212.2649,farequote
2014-06-23 00:05:59Z,UAL,11.3093,farequote
2014-06-23 00:06:08Z,DAL,399.6682,farequote
2014-06-23 00:06:10Z,AWE,20.3106,farequote
2014-06-23 00:06:15Z,AAL,105.4543,farequote
2014-06-23 00:06:25Z,SWR,2381.0049,farequote
2014-06-23 00:06:41Z,VRD,304.4855,farequote
2014-06-23 00:06:42Z,ASA,80.2245,farequote
2014-06-23 00:06:42Z,EGF,183.0864,farequote
2014-06-23 00:06:44Z,KLM,1596.6879,farequote
2014-06-23 00:06:50Z,ACA,21.8237,farequote
2014-06-23 00:06:52Z,SWA,258.293,farequote
2014-06-23 00:06:57Z,JBU,878.4125,farequote
2014-06-23 00:07:07Z,AAL,125.6072,farequote
2014-06-23 00:07:10Z,AWE,19.7085,farequote
2014-06-23 00:07:15Z,JBU,870.7136,farequote
2014-06-23 00:07:16Z,ACA,16.6693,farequote
2014-06-23 00:07:20Z,AWE,21.8362,farequote
2014-06-23 00:07:27Z,DAL,401.8385,farequote
2014-06-23 00:07:34Z,AAL,105.4058,farequote
2014-06-23 00:07:38Z,AMX,17.9767,farequote
2014-06-23 00:07:44Z,AMX,14.0203,farequote
2014-06-23 00:07:48Z,JZA,998.8458,farequote
2014-06-23 00:07:57Z,UAL,10.9432,farequote
2014-06-23 00:08:09Z,FFT,198.8344,farequote
2014-06-23 00:08:13Z,FFT,252.9021,farequote
2014-06-23 00:08:15Z,JBU,1153.3786,farequote
2014-06-23 00:08:15Z,JAL,512.8353,farequote
2014-06-23 00:08:23Z,VRD,316.8753,farequote
2014-06-23 00:08:35Z,BAW,204.4533,farequote
2014-06-23 00:08:40Z,AMX,11.1564,farequote
2014-06-23 00:08:57Z,ASA,75.4315,farequote
2014-06-23 00:09:01Z,KLM,1506.6081,farequote
2014-06-23 00:09:05Z,FFT,203.4564,farequote
2014-06-23 00:09:08Z,AWE,19.1997,farequote
2014-06-23 00:09:13Z,AAL,127.2046,farequote
2014-06-23 00:09:15Z,ACA,16.2287,farequote
2014-06-23 00:09:21Z,ASA,72.1117,farequote
2014-06-23 00:09:22Z,AMX,18.6087,farequote
2014-06-23 00:09:35Z,AAL,149.5154,farequote
2014-06-23 00:09:35Z,JAL,505.3722,farequote
2014-06-23 00:09:46Z,AMX,5.9133,farequote
2014-06-23 00:09:58Z,ASA,72.3734,farequote
2014-06-23 00:10:06Z,FFT,221.2486,farequote
2014-06-23 00:10:10Z,JZA,993.99,farequote
2014-06-23 00:10:11Z,SWR,2035.6606,farequote
2014-06-23 00:10:21Z,VRD,322.7542,farequote
2014-06-23 00:10:24Z,UAL,10.6465,farequote
2014-06-23 00:10:34Z,JBU,1098.2459,farequote
2014-06-23 00:10:36Z,EGF,182.5611,farequote
2014-06-23 00:10:42Z,JBU,1257.0528,farequote
2014-06-23 00:10:49Z,AWE,18.9677,farequote
2014-06-23 00:10:59Z,SWR,2366.3837,farequote
2014-06-23 00:11:00Z,AAL,97.6784,farequote
2014-06-23 00:11:00Z,ACA,19.8013,farequote
2014-06-23 00:11:06Z,VRD,312.7835,farequote
2014-06-23 00:11:08Z,AWE,19.9456,farequote
2014-06-23 00:11:13Z,AWE,21.3442,farequote
2014-06-23 00:11:31Z,SWA,103.4674,farequote
2014-06-23 00:11:44Z,EGF,203.087,farequote
2014-06-23 00:11:47Z,BAW,211.8947,farequote
2014-06-23 00:11:50Z,AAL,117.9489,farequote
2014-06-23 00:12:09Z,AWE,20.4026,farequote
2014-06-23 00:12:10Z,JAL,510.7454,farequote
2014-06-23 00:12:26Z,AMX,14.4155,farequote
2014-06-23 00:12:26Z,EGF,203.9415,farequote
2014-06-23 00:12:32Z,AWE,19.4255,farequote
2014-06-23 00:12:32Z,ASA,70.3209,farequote
2014-06-23 00:12:34Z,UAL,7.6049,farequote
2014-06-23 00:12:47Z,NKS,10028.451,farequote
2014-06-23 00:12:53Z,JBU,971.1198,farequote
2014-06-23 00:12:54Z,JZA,1005.5307,farequote
2014-06-23 00:12:54Z,FFT,197.9971,farequote
2014-06-23 00:12:58Z,UAL,9.6703,farequote
2014-06-23 00:13:07Z,BAW,214.9626,farequote
2014-06-23 00:13:08Z,ASA,93.5598,farequote
2014-06-23 00:13:09Z,ACA,20.5952,farequote
2014-06-23 00:13:14Z,AWE,20.3506,farequote
2014-06-23 00:13:17Z,TRS,398.9832,farequote
2014-06-23 00:13:29Z,BAW,209.9142,farequote
2014-06-23 00:13:35Z,AAL,67.3684,farequote
2014-06-23 00:13:51Z,VRD,305.184,farequote
2014-06-23 00:13:55Z,EGF,196.5595,farequote
2014-06-23 00:14:00Z,NKS,10066.5759,farequote
2014-06-23 00:14:19Z,SWR,2089.0933,farequote
2014-06-23 00:14:19Z,UAL,9.6648,farequote
2014-06-23 00:14:21Z,AWE,20.3805,farequote
2014-06-23 00:14:38Z,BAW,212.7103,farequote
2014-06-23 00:14:45Z,AAL,118.206,farequote
2014-06-23 00:14:47Z,DAL,399.8418,farequote
2014-06-23 00:14:56Z,JBU,1009.5461,farequote
2014-06-23 00:15:05Z,AAL,104.0126,farequote
2014-06-23 00:15:09Z,AMX,15.3571,farequote
2014-06-23 00:15:11Z,SWR,2411.8859,farequote
2014-06-23 00:15:16Z,FFT,207.228,farequote
2014-06-23 00:15:43Z,FFT,190.7118,farequote
2014-06-23 00:15:44Z,UAL,9.0402,farequote
2014-06-23 00:15:46Z,KLM,1450.5368,farequote
2014-06-23 00:15:50Z,SWA,354.2403,farequote
2014-06-23 00:15:52Z,NKS,9994.7065,farequote
2014-06-23 00:15:52Z,AWE,19.739,farequote
2014-06-23 00:15:54Z,ACA,16.4515,farequote
2014-06-23 00:15:55Z,JAL,492.3339,farequote
2014-06-23 00:15:58Z,JZA,1026.2449,farequote
2014-06-23 00:15:58Z,JZA,997.0881,farequote
2014-06-23 00:16:01Z,ASA,79.9623,farequote
2014-06-23 00:16:03Z,BAW,195.9911,farequote
2014-06-23 00:16:25Z,AAL,81.0295,farequote
2014-06-23 00:16:27Z,ASA,71.0876,farequote
2014-06-23 00:16:31Z,AWE,20.4874,farequote
2014-06-23 00:16:36Z,EGF,198.9358,farequote
2014-06-23 00:16:42Z,JBU,1014.5313,farequote
2014-06-23 00:16:53Z,JBU,1027.3092,farequote
2014-06-23 00:16:59Z,JBU,1069.2397,farequote
2014-06-23 00:17:09Z,JZA,985.7486,farequote
2014-06-23 00:17:14Z,VRD,308.5617,farequote
2014-06-23 00:17:17Z,VRD,289.6194,farequote
2014-06-23 00:17:26Z,AAL,119.0415,farequote
2014-06-23 00:17:29Z,AAL,137.5302,farequote
2014-06-23 00:17:33Z,SWR,1078.8085,farequote
2014-06-23 00:17:52Z,FFT,226.1917,farequote
2014-06-23 00:17:59Z,AMX,10.5994,farequote
2014-06-23 00:18:00Z,SWR,1843.7806,farequote
2014-06-23 00:18:06Z,BAW,190.4838,farequote
2014-06-23 00:18:12Z,BAW,187.7997,farequote
2014-06-23 00:18:14Z,ASA,86.2874,farequote
2014-06-23 00:18:16Z,AAL,110.5178,farequote
2014-06-23 00:18:17Z,AWE,20.9956,farequote
2014-06-23 00:18:24Z,UAL,9.9996,farequote
2014-06-23 00:18:29Z,ACA,22.7538,farequote
2014-06-23 00:18:32Z,JBU,821.0219,farequote
2014-06-23 00:18:34Z,SWR,1715.2242,farequote
2014-06-23 00:18:35Z,SWA,282.9799,farequote
2014-06-23 00:18:52Z,JZA,1015.9324,farequote
2014-06-23 00:18:55Z,EGF,191.9205,farequote
2014-06-23 00:19:07Z,ACA,22.6136,farequote
2014-06-23 00:19:19Z,FFT,224.766,farequote
2014-06-23 00:19:24Z,TRS,407.619,farequote
2014-06-23 00:19:24Z,BAW,196.3275,farequote
2014-06-23 00:19:31Z,UAL,11.1811,farequote
2014-06-23 00:19:39Z,VRD,286.642,farequote
2014-06-23 00:19:40Z,JAL,485.7901,farequote
2014-06-23 00:19:52Z,BAW,197.6965,farequote
2014-06-23 00:19:53Z,EGF,202.4476,farequote
2014-06-23 00:20:06Z,AMX,12.0163,farequote
2014-06-23 00:20:12Z,AAL,104.0042,farequote
2014-06-23 00:20:12Z,AWE,20.8205,farequote
2014-06-23 00:20:16Z,JBU,1070.1725,farequote
2014-06-23 00:20:18Z,NKS,9947.4441,farequote
2014-06-23 00:20:21Z,UAL,11.0237,farequote
2014-06-23 00:20:25Z,KLM,1373.698,farequote
2014-06-23 00:20:28Z,DAL,425.9013,farequote
2014-06-23 00:20:38Z,ACA,19.4241,farequote
2014-06-23 00:20:39Z,ASA,75.24,farequote
2014-06-23 00:20:39Z,BAW,194.5764,farequote
2014-06-23 00:21:01Z,AWE,20.0942,farequote
2014-06-23 00:21:05Z,JAL,492.3083,farequote
2014-06-23 00:21:09Z,FFT,186.1335,farequote
2014-06-23 00:21:13Z,AAL,69.1198,farequote
2014-06-23 00:21:17Z,SWR,1353.8314,farequote
2014-06-23 00:21:34Z,FFT,202.839,farequote
2014-06-23 00:21:34Z,AMX,15.738,farequote
2014-06-23 00:21:43Z,SWA,240.4606,farequote
2014-06-23 00:21:43Z,UAL,9.5246,farequote
2014-06-23 00:22:04Z,ASA,74.278,farequote
2014-06-23 00:22:05Z,NKS,9970.5658,farequote
2014-06-23 00:22:08Z,AAL,96.1929,farequote
2014-06-23 00:22:11Z,VRD,279.9888,farequote
2014-06-23 00:22:12Z,JZA,1003.9534,farequote
2014-06-23 00:22:22Z,ACA,15.3264,farequote
2014-06-23 00:22:24Z,JBU,852.6204,farequote
2014-06-23 00:22:28Z,DAL,367.6042,farequote
2014-06-23 00:22:39Z,AWE,19.8244,farequote
2014-06-23 00:23:11Z,SWR,2628.1711,farequote
2014-06-23 00:23:23Z,EGF,198.9386,farequote
2014-06-23 00:23:24Z,AWE,20.6278,farequote
2014-06-23 00:23:24Z,BAW,200.5559,farequote
2014-06-23 00:23:25Z,AWE,20.5856,farequote
